Appeal to authority	Justification
Appeal to fear/prejudice	Justification
Bandwagon	Justification
Flag-waving	Justification
Doubt	Reputation
Name calling/Labeling	Reputation
Reductio ad hitlerum	Reputation
Smears	Reputation
Exaggeration/Minimisation	Manipulation
Loaded Language	Manipulation
Repetition	Manipulation
Obfuscation, Intentional vagueness, Confusion	Manipulation
Misrepresentation of Someone's Position (Straw Man)	Distraction
Whataboutism	Distraction
Presenting Irrelevant Data (Red Herring)	Distraction
Black-and-white Fallacy/Dictatorship	Simplification
Causal Oversimplification	Simplification
Slogans	Call
Thought-terminating cliché	Call
Appeal to authority	root
Appeal to fear/prejudice	root
Bandwagon	root
Black-and-white Fallacy/Dictatorship	root
Causal Oversimplification	root
Doubt	root
Exaggeration/Minimisation	root
Flag-waving	root
Glittering generalities (Virtue)	root
Loaded Language	root
Misrepresentation of Someone's Position (Straw Man)	root
Name calling/Labeling	root
Obfuscation, Intentional vagueness, Confusion	root
Presenting Irrelevant Data (Red Herring)	root
Reductio ad hitlerum	root
Repetition	root
Slogans	root
Smears	root
Thought-terminating cliché	root
Whataboutism	root
Reputation	root
Justification	root
Manipulation	root
Distraction	root
Call	root
Simplification	root
